Jahr.Q,BIP-Q
2021.25,283874.1
2021.50,288765.1
2021.75,299323.9
2022.00,313262.1
2022.25,330783.7
2022.50,348239.2
2022.75,359041.0
2023.00,366547.3
2023.25,388202.4
2023.50,394534.0
2023.75,403030.2
